Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,sheet_temp,file_name,pressure_ppm,condition_temp,compound
0.0117943,1.00003,0.0117939,39.9531,25.0,0.402864,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.00981155,1.25895,0.00779344,80.0156,25.007,0.40073,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.00553111,1.58489,0.0034899,120.141,25.005,0.399841,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.00715404,1.99528,0.00358549,160.172,24.999,0.400784,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.00964187,2.51182,0.00383859,200.344,24.998,0.402165,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0131289,3.16227,0.00415174,240.391,25.001,0.401394,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0165897,3.98101,0.00416721,280.578,25.0,0.402555,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0204542,5.01188,0.00408114,320.578,25.0,0.40354,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0257163,6.30959,0.00407574,360.688,25.0,0.402906,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0323348,7.94325,0.00407073,400.688,24.999,0.402888,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0398152,10.0,0.00398151,440.875,25.0,0.403106,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0499392,12.5893,0.00396681,480.984,25.0,0.403368,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.062336,15.8489,0.00393316,521.063,25.0,0.404363,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0775413,19.9527,0.00388625,561.219,24.999,0.404553,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0966855,25.119,0.00384911,601.266,25.0,0.405682,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.120506,31.6228,0.00381072,641.438,25.001,0.405765,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.150209,39.8107,0.00377307,681.563,25.001,0.406439,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.187233,50.1188,0.00373578,721.609,25.0,0.406536,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.233586,63.0958,0.00370209,761.75,24.998,0.407238,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.291906,79.4329,0.00367488,801.797,25.002,0.406939,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.365263,99.9999,0.00365263,842.0,25.001,0.407182,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.458541,125.893,0.00364232,882.078,24.999,0.406836,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.57739,158.489,0.00364309,922.188,24.999,0.405852,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.727792,199.526,0.0036476,962.281,25.0,0.406161,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.919807,251.189,0.00366182,1002.36,24.999,0.405266,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
1.21073,316.228,0.00382865,1042.55,25.0,0.403644,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
1.77759,398.107,0.00446509,1082.59,24.999,0.401922,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
2.50564,501.187,0.00499942,1122.8,24.999,0.398817,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
3.48483,630.957,0.00552308,1162.81,24.999,0.394409,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
4.72151,794.327,0.00594404,1203.08,24.999,0.386828,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
6.31195,1000.0,0.00631195,1243.13,25.001,0.375559,25 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,25,DPTLB 2070 C
0.0186735,0.99999,0.0186737,39.9375,40.049,0.41745,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.00293183,1.25898,0.00232874,79.9688,40.098,0.41541,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.00847653,1.58493,0.00534821,120.141,40.05,0.41561,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.00812989,1.99521,0.00407469,160.125,40.02,0.415798,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.00952843,2.51186,0.00379338,200.297,40.007,0.416307,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0113895,3.16227,0.00360168,240.281,40.0,0.415406,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.014481,3.98113,0.00363742,280.422,40.002,0.41745,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.017982,5.01188,0.00358787,320.5,40.002,0.417447,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.022278,6.30958,0.00353082,360.703,40.003,0.416469,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.027356,7.94324,0.00344393,400.672,40.002,0.416518,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0348203,9.99999,0.00348203,440.844,40.001,0.416237,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0429177,12.5893,0.00340907,480.828,40.001,0.416794,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0535717,15.849,0.00338014,520.984,39.998,0.417294,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0668419,19.9526,0.00335004,561.094,40.002,0.417468,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.0831801,25.1188,0.00331146,601.172,40.001,0.418152,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.103549,31.6228,0.00327449,641.25,40.001,0.418428,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.129176,39.8106,0.00324476,681.328,39.999,0.417437,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.16143,50.1187,0.00322096,721.578,40.0,0.418504,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.202821,63.0958,0.00321449,761.656,40.001,0.417932,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.256345,79.4328,0.00322719,801.734,40.001,0.417509,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.32417,100.0,0.0032417,841.953,39.997,0.418831,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.407922,125.892,0.00324024,881.984,39.994,0.417441,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.512702,158.489,0.00323494,922.234,40.003,0.418336,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.645642,199.526,0.00323588,962.219,40.002,0.418315,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.818224,251.189,0.00325741,1002.44,39.998,0.417256,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
1.16394,316.228,0.00368071,1042.59,39.997,0.418111,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
1.64493,398.107,0.00413189,1082.69,39.999,0.416692,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
2.24515,501.188,0.00447966,1122.89,40.002,0.415482,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
3.02926,630.958,0.00480104,1163.0,40.0,0.4159,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
4.00228,794.328,0.00503858,1203.13,39.998,0.417367,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
5.27686,1000.0,0.00527685,1243.16,39.998,0.416867,40 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,40,DPTLB 2070 C
0.00720589,0.999982,0.00720602,39.9531,60.05,0.462439,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00536923,1.25892,0.00426496,80.0156,60.094,0.464348,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0109845,1.58496,0.00693045,120.172,60.057,0.467842,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00835538,1.99525,0.00418764,160.188,60.018,0.44435,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00996147,2.51188,0.00396574,200.297,60.003,0.447046,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0119457,3.16229,0.00377755,240.359,60.002,0.447855,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0147073,3.98109,0.0036943,280.5,60.001,0.447939,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0181039,5.01186,0.00361221,320.484,60.003,0.447382,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0223072,6.30957,0.00353546,360.641,60.005,0.446401,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0274,7.94329,0.00344945,400.797,59.998,0.447453,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0341594,10.0,0.00341594,440.859,60.001,0.445716,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
